6,738,311
7,255,247
8,744,92
22,447,319
23,380,325
24,316,320
25,233,270
26,508,305
27,354,95
28,434,110
29,279,103
30,231,131
31,187,312
33,234,222
34,21,248
35,124,248
46,150,58
47,545,462
53,207,10
55,595,70
56,502,149
65,420,4
70,120,22
100,474,500
110,262,301
111,122,359
112,548,290
113,175,159
114,591,419
116,61,406
117,157,419
118,235,454
119,363,447
120,458,421
121,531,391
122,675,328
124,132,145
127,18,220
128,586,356
130,208,219
133,552,264
139,49,101
143,79,256
144,318,279
145,376,284
153,435,281
154,492,272
155,532,268
156,96,126
157,488,210
158,426,184
159,365,176
160,306,182
161,269,198
162,25,54
163,281,264
168,743,199
173,531,242
174,628,456
188,635,368
189,600,207
190,560,215
193,660,205
195,727,500
196,672,423
197,733,410
217,590,500
221,544,129
222,429,73
223,328,58
224,248,69
225,195,100
226,172,232
227,17,404
228,217,348
229,282,377
230,371,380
231,455,366
232,524,346
233,572,325
234,30,382
243,575,267
244,609,286
245,629,301
246,249,210
247,205,167
249,1261,255
252,1063,330
253,1135,335
254,1202,328
255,1291,280
256,1001,314
257,1161,100
258,1077,110
259,1238,113
260,1289,143
261,1352,323
263,1286,230
265,1433,258
276,1384,72
277,954,464
283,1311,21
285,892,71
286,1007,147
295,1071,7
300,1426,30
339,1260,311
340,1430,372
341,960,298
342,1357,172
343,905,419
346,1381,433
347,1290,467
348,1154,462
349,1054,435
350,977,403
351,806,328
353,1414,155
357,918,365
359,1318,231
362,957,270
373,1193,286
374,1134,292
380,1074,289
381,1016,279
382,976,275
383,1465,131
384,1024,209
385,1087,182
386,1150,177
387,1211,188
388,1248,206
390,1234,272
398,978,246
399,849,458
412,854,369
413,904,207
414,948,217
417,838,208
419,798,424
441,957,130
442,1073,76
443,1179,65
444,1266,81
445,1327,114
446,1367,245
448,1314,361
449,1241,387
450,1146,391
451,1057,377
452,986,355
453,936,332
463,933,273
464,898,291
465,872,307
466,1269,219
467,1318,179
468,387,221
469,461,222
470,387,156
471,312,220
472,387,287
473,1130,225
474,1202,224
475,1126,160
476,1058,225
477,1135,290
